Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1961	28.9	12.8	24.0		293	
1/2/1961	28.9	13.3	24.1		231	
1/3/1961	27.8	13.3	23.4		276	
1/4/1961	30.0	12.2	23.9		302	
1/5/1961	30.6	12.8	24.2		347	
1/6/1961	28.9	13.9	24.0		213	
1/7/1961	28.9	13.9	23.8		276	
1/8/1961	27.8	12.8	22.8		222	
1/9/1961	27.8	13.3	23.6		258	
1/10/1961	28.9	13.3	23.1		240	
1/11/1961	26.7	12.2	21.9		160	
1/12/1961	25.6	12.2	19.9		320	
1/13/1961	26.1	12.8	20.8		89	
1/14/1961	27.2	11.7	20.9		187	
1/15/1961	24.4	14.4	21.3		293	
1/16/1961	27.8	13.9	22.1		338	
1/17/1961	26.7	11.1	20.9		222	
1/18/1961	26.1	15.6	21.8		196	
1/19/1961	27.2	12.8	22.3		258	
1/20/1961	29.4	15.6	22.7		196	
1/21/1961	29.4	15.0	23.3		160	
1/22/1961	29.4	13.9	24.0		311	
1/23/1961	28.9	16.7	24.2		116	
1/24/1961	27.8	17.2	23.0		267	
1/25/1961	28.9	18.3	24.6		329	
1/26/1961	30.0	15.0	23.4		267	
1/27/1961	29.4	16.7	24.1		276	
1/28/1961	30.6	13.9	24.6		240	
1/29/1961	30.6	16.7	25.2		285	
1/30/1961	27.8	16.7	22.1		187	
1/31/1961	30.0	15.6	24.0		240	
2/1/1961	27.8	15.6	22.1		231	
2/2/1961	28.3	15.6	23.2		409	
2/3/1961	27.2	17.8	23.1		498	
2/4/1961	24.4	15.6	20.2		178	
2/5/1961	26.1	16.7	21.1		347	
2/6/1961	23.3	16.7	20.7		187	
2/7/1961	23.9	16.7	20.7		213	
2/8/1961	26.7	13.3	21.9		285	
2/9/1961	28.3	14.4	23.4		258	
2/10/1961	30.6	13.3	24.4		373	
2/11/1961	26.1	15.0	22.1		373	
2/12/1961	27.8	16.1	20.9		133	
2/13/1961	26.7	16.1	21.9		338	
2/14/1961	28.9	14.4	23.2		169	
2/15/1961	31.1	14.4	24.9		249	
2/16/1961	31.1	17.2	25.0		160	
2/17/1961	28.3	15.6	22.8		196	
2/18/1961	29.4	15.6	23.7		204	
2/19/1961	27.8	15.0	22.6		249	
2/20/1961	27.8	17.2	22.4		445	
2/21/1961	28.9	15.6	22.8		276	
2/22/1961	28.3	16.1	23.4		365	
2/23/1961	29.4	12.8	23.1		462	
2/24/1961	30.0	12.8	23.0		480	
2/25/1961	26.1	13.9	21.9		418	
2/26/1961	25.6	13.3	22.0		382	
2/27/1961	26.1	16.7	22.6		204	
2/28/1961	28.3	15.6	23.4		365	
3/1/1961	24.4	17.2	21.2		329	
3/2/1961	25.0	18.3	21.3		276	
3/3/1961	25.6	17.8	21.8		302	
3/4/1961	27.8	17.8	23.4		222	
3/5/1961	27.8	12.8	21.3		240	
3/6/1961	27.2	16.1	22.3		160	
3/7/1961	28.3	15.0	22.8		293	
3/8/1961	28.9	13.3	23.1		338	
3/9/1961	27.8	13.3	22.6		436	
3/10/1961	28.3	13.9	23.0		267	
3/11/1961	27.8	15.0	23.2		320	
3/12/1961	26.7	17.8	23.5		293	
3/13/1961	28.9	17.8	23.6		409	
3/14/1961	27.8	18.3	23.4		356	
