Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1957	32.2	24.4	27.9		187	
1/2/1957	32.2	23.3	27.2		151	
1/3/1957	32.2	23.3	27.3		187	
1/4/1957	32.2	23.3	27.4		142	
1/5/1957	32.2	21.1	24.3		160	
1/6/1957	28.3	21.1	24.7		18	
1/7/1957	30.0	22.2	25.4		98	
1/8/1957	30.0	22.2	26.7		178	
1/9/1957	32.2	23.3	27.5		231	
1/10/1957	33.3	23.3	28.6		280	
1/11/1957	33.3	22.2	25.3		107	
1/12/1957	29.4	21.7	25.8		213	
1/13/1957	30.0	21.7	26.6		329	
1/14/1957	30.0	22.8	27.3		471	
1/15/1957	30.6	25.0	27.2		342	
1/16/1957	31.1	24.4	27.4		240	
1/17/1957	31.7	23.9	27.4		249	
1/18/1957	31.7	22.8	27.2		218	
1/19/1957	32.2	22.8	27.6		253	
1/20/1957	32.2	23.9	27.7		293	
1/21/1957	32.2	23.9	27.8		231	
1/22/1957	32.8	22.8	26.2		147	
1/23/1957	32.8	22.2	26.3		98	
1/24/1957	32.8	22.2	25.6		151	
1/25/1957	31.1	22.8	26.9		227	
1/26/1957	31.1	21.7	26.4		351	
1/27/1957	30.6	23.3	26.5		289	
1/28/1957	30.6	22.8	26.2		196	
1/29/1957	30.6	22.8	25.1		84	
1/30/1957	30.0	22.8	26.8		222	
1/31/1957	30.0	22.2	24.5		120	
2/1/1957	30.0	22.2	25.9		231	
2/2/1957	30.0	21.7	24.7		244	
2/3/1957	32.2	21.7	27.6		262	
2/4/1957	32.2	21.7	25.2		253	
2/5/1957	28.9	21.7	25.4		236	
2/6/1957	28.3	23.9	26.2		324	
2/7/1957	29.4	24.4	26.7		320	
2/8/1957	30.0	24.4	27.2		316	
2/9/1957	30.0	24.4	27.2		356	
2/10/1957	30.6	23.9	26.6		302	
2/11/1957	30.6	23.3	26.9		276	
2/12/1957	30.6	23.3	27.2		396	
2/13/1957	31.1	24.4	27.3		471	
2/14/1957	31.1	24.4	27.0		422	
2/15/1957	31.1	22.8	26.3		276	
2/16/1957	31.1	22.8	26.6		262	
2/17/1957	31.1	22.8	27.3		280	
2/18/1957	31.7	22.8	27.2		280	
2/19/1957	31.7	23.9	26.9		342	
2/20/1957	30.6	22.2	26.2		253	
2/21/1957	30.6	21.1	25.7		182	
2/22/1957	31.1	18.9	25.3		178	
2/23/1957	32.2	18.9	26.4		196	
2/24/1957	32.2	20.6	26.6		227	
2/25/1957	32.2	21.7	26.4		120	
2/26/1957	31.1	21.7	24.7		116	
2/27/1957	29.4	21.7	24.5		80	
2/28/1957	31.1	21.7	25.7		111	
3/1/1957	31.1	22.2	25.2		93	
3/2/1957	29.4	22.2	25.6		164	
3/3/1957	31.7	22.8	26.7		107	
3/4/1957	31.7	22.8	26.7		200	
3/5/1957	31.7	22.8	26.4		209	
3/6/1957	32.2	21.1	26.7		164	
3/7/1957	32.2	21.1	26.7		142	
3/8/1957	32.2	21.1	26.8		102	
