Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1957	22.2	15.0	18.8		124	
1/2/1957	24.4	13.9	20.7		231	
1/3/1957	25.6	14.4	21.0		160	
1/4/1957	25.0	14.4	20.4		142	
1/5/1957	22.2	13.9	18.2		62	
1/6/1957	22.8	14.4	18.7		80	
1/7/1957	21.1	14.4	18.3		27	
1/8/1957	23.3	14.4	19.2		80	
1/9/1957	20.6	15.0	17.8		53	
1/10/1957	21.1	14.4	18.6		133	
1/11/1957	21.1	14.4	17.8		71	
1/12/1957	20.6	15.6	17.6		18	
1/13/1957	22.2	14.4	18.9		71	
1/14/1957	23.3	16.1	20.7		147	
1/15/1957	23.3	15.6	20.8		107	
1/16/1957	25.6	15.0	19.9		53	
1/17/1957	27.2	13.3	21.7		80	
1/18/1957	22.8	13.9	18.9		71	
1/19/1957	25.0	13.3	20.4		71	
1/20/1957	25.0	13.9	20.8		133	
1/21/1957	24.4	15.6	19.2		71	
1/22/1957	23.3	15.6	19.0		71	
1/23/1957	23.3	16.1	18.9		160	
1/24/1957	21.1	15.0	18.6		71	
1/25/1957	22.8	15.6	19.8		169	
1/26/1957	24.4	14.4	19.1		187	
1/27/1957	24.4	15.6	20.3		89	
1/28/1957	22.2	14.4	17.6		80	
1/29/1957	20.0	15.0	17.4		62	
1/30/1957	21.7	15.0	18.2		107	
1/31/1957	22.2	15.6	18.8		98	
2/1/1957	19.4	15.6	16.9		196	
2/2/1957	20.0	16.1	18.0		196	
2/3/1957	22.8	14.4	18.7		160	
2/4/1957	22.8	13.9	18.7		142	
2/5/1957	20.0	14.4	17.4		169	
2/6/1957	22.2	15.0	18.9		107	
2/7/1957	21.1	15.0	18.2		107	
2/8/1957	19.4	15.6	17.2		107	
2/9/1957	21.7	13.3	18.6		53	
2/10/1957	23.3	14.4	19.8		89	
2/11/1957	23.3	15.0	19.8		133	
2/12/1957	22.8	16.7	20.0		116	
2/13/1957	22.2	15.6	19.4		84	
2/14/1957	26.1	15.0	20.6		89	
2/15/1957	25.0	12.8	20.6		107	
2/16/1957	26.7	13.9	21.6		107	
2/17/1957	25.0	13.9	21.0		116	
2/18/1957	22.8	16.1	18.7		124	
2/19/1957	23.3	15.0	18.6		62	
2/20/1957	22.8	15.0	19.6		133	
2/21/1957	23.3	15.6	19.6		62	
2/22/1957	23.9	14.4	20.1		116	
2/23/1957	24.4	12.2	20.1		169	
2/24/1957	25.0	11.7	20.0		151	
2/25/1957	25.0	14.4	20.6		98	
2/26/1957	23.9	14.4	20.4		151	
2/27/1957	24.4	15.6	21.2		116	
2/28/1957	25.0	13.9	20.4		169	
3/1/1957	22.8	15.0	18.7		116	
3/2/1957	25.0	15.0	19.2		124	
3/3/1957	23.3	15.0	19.2		156	
3/4/1957	22.8	15.6	20.0		116	
3/5/1957	24.4	14.4	19.8		187	
3/6/1957	22.8	12.8	18.8		142	
3/7/1957	25.6	12.2	20.4		107	
3/8/1957	26.7	13.3	21.3		107	
3/9/1957	26.1	12.8	21.4		160	
3/10/1957	25.6	14.4	21.4		133	
3/11/1957	23.3	15.0	17.9		53	
3/12/1957	22.2	15.0	20.2		98	
3/13/1957	24.4	13.9	20.6		89	
3/14/1957	22.2	16.7	19.6		116	
3/15/1957	25.6	14.4	19.3		151	
3/16/1957	22.8	16.1	20.1		98	
3/17/1957	22.8	15.6	18.6		53	
3/18/1957	24.4	13.9	20.3		142	
3/19/1957	21.1	14.4	19.0		178	
3/20/1957	21.7	15.6	19.2		178	
3/21/1957	23.3	16.1	19.6		124	
3/22/1957	24.4	14.4	20.8		133	
