Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/13/1960	24.4	18.9	21.7		187	
1/14/1960	26.7	20.0	22.9		351	
1/15/1960	27.8	21.1	24.8		240	
1/16/1960	28.9	20.6	25.3		267	
1/17/1960	24.4	21.7	22.9		462	
1/18/1960	26.1	21.1	23.3		316	
1/19/1960	26.1	19.4	23.8		409	
1/20/1960	25.6	21.1	23.9		436	
1/21/1960	27.8	19.4	23.4		267	
1/22/1960	20.6	18.9	19.4		240	
1/23/1960	22.8	18.3	20.7		276	
1/24/1960	27.2	18.3	22.8		302	
1/25/1960	25.6	17.2	22.9		333	
1/26/1960	25.0	19.4	22.3		342	
1/27/1960	24.4	19.4	22.7		356	
1/28/1960	26.7	18.9	23.6		324	
1/29/1960	27.2	22.8	24.8		524	
1/30/1960	26.7	20.6	24.4		324	
1/31/1960	28.3	20.6	24.7		378	
2/1/1960	26.1	20.0	23.2		440	
2/2/1960	25.0	20.6	23.4		311	
2/3/1960	27.2	20.6	24.6		356	
2/4/1960	28.3	22.2	25.7		462	
2/5/1960	27.2	21.7	25.0		560	
2/6/1960	30.0	20.6	25.2		373	
2/7/1960	28.3	20.0	25.1		462	
2/8/1960	26.7	21.7	25.3		347	
2/9/1960	26.7	21.1	24.6		253	
2/10/1960	28.3	19.4	25.1		249	
2/11/1960	27.8	21.7	25.0		445	
2/12/1960	27.2	19.4	23.9		365	
2/13/1960	27.2	19.4	23.6		391	
2/14/1960	26.7	20.6	24.1		373	
2/15/1960	26.7	21.1	24.8		391	
2/16/1960	26.7	18.3	22.9		356	
2/17/1960	23.3	17.8	21.3		320	
2/18/1960	25.6	19.4	23.4		280	
2/19/1960	27.2	19.4	23.3		311	
2/20/1960	28.3	20.0	24.7		316	
2/21/1960	26.7	18.3	23.3		253	
2/22/1960	26.7	20.0	24.4		253	
2/23/1960	28.9	21.1	26.0		365	
2/24/1960	25.0	18.3	22.0		356	
2/25/1960	24.4	19.4	22.4		267	
2/26/1960	27.8	17.8	22.3		253	
2/27/1960	22.2	18.9	20.4		253	
2/28/1960	26.7	19.4	22.9		316	
2/29/1960	26.7	18.9	22.2		329	
3/1/1960	26.7	18.9	23.5		320	
3/2/1960	25.0	19.4	22.3		333	
3/3/1960	26.1	19.4	22.9		209	
3/4/1960	25.6	18.3	22.4		293	
3/5/1960	29.4	19.4	24.6		373	
3/6/1960	27.2	20.0	24.4		347	
3/7/1960	26.7	22.2	24.9		280	
3/8/1960	27.8	20.0	24.9		213	
3/9/1960	26.1	18.9	22.7		231	
3/10/1960	27.2	19.4	24.3		324	
3/11/1960	26.1	18.9	22.7		231	
3/12/1960	26.7	20.6	24.3		249	
3/13/1960	26.7	19.4	23.4		302	
3/14/1960	22.8	17.8	20.4		480	
3/15/1960	26.7	20.6	23.7		222	
3/16/1960	23.9	18.3	21.2		391	
3/17/1960	27.2	19.4	23.2		249	
3/18/1960	24.4	20.0	22.3		400	
3/19/1960	21.7	20.0	20.9		138	
3/20/1960	20.0	17.2	18.4		209	
3/21/1960	26.1	20.0	23.4		253	
3/22/1960	26.1	18.3	23.0		240	
3/23/1960	27.2	20.0	24.0		311	
3/24/1960	25.0	20.6	23.1		267	
3/25/1960	25.6	19.4	23.0		293	
3/26/1960	25.6	18.3	22.1		302	
3/27/1960	26.7	19.4	23.6		338	
3/28/1960	25.6	20.0	22.9		524	
3/29/1960	27.2	20.0	23.8		293	
3/30/1960	27.8	21.7	25.0		302	
3/31/1960	26.7	20.0	23.9		209	
4/1/1960	26.7	20.6	24.1		240	
4/2/1960	26.7	20.0	24.0		347	
4/3/1960	27.8	20.0	24.6		347	
4/4/1960	26.1	18.3	22.3		227	
4/5/1960	25.6	20.6	23.3		209	
4/6/1960	26.7	21.7	24.9		356	
4/7/1960	26.7	20.6	24.3		311	
4/8/1960	27.2	19.4	24.3		249	
4/9/1960	26.7	21.7	24.9		244	
4/10/1960	27.2	21.1	24.7		302	
4/11/1960	22.8	20.0	21.4		276	
4/12/1960	24.4	20.6	23.0		267	
4/13/1960	26.7	18.9	23.9		302	
4/14/1960	24.4	20.6	23.0		316	
4/15/1960	25.6	20.6	23.3		280	
4/16/1960	26.1	20.0	23.6		253	
4/17/1960	26.1	21.1	23.7		289	
4/18/1960	26.1	20.0	23.1		307	
4/19/1960	26.7	20.6	23.6		240	
4/20/1960	27.2	21.1	24.3		240	
4/21/1960	28.3	19.4	24.2		213	
4/22/1960	27.8	21.1	24.6		271	
4/23/1960	25.0	18.9	21.8		298	
4/24/1960	27.2	20.0	23.7		324	
4/25/1960	27.8	20.0	24.0		347	
4/26/1960	27.8	20.6	24.4		187	
4/27/1960	27.8	20.6	24.3		311	
4/28/1960	26.7	20.6	24.2		280	
4/29/1960	25.6	19.4	22.9		209	
4/30/1960	27.2	21.1	24.3		311	
5/1/1960	28.3	20.6	24.9		240	
5/2/1960	27.8	21.1	24.6		285	
5/3/1960	27.8	19.4	24.3		480	
5/4/1960	27.8	18.3	24.1		280	
5/5/1960	28.3	18.9	24.1		307	
5/6/1960	28.3	19.4	24.6		387	
5/7/1960	28.3	18.9	24.2		320	
5/8/1960	29.4	20.0	26.0		396	
5/9/1960	29.4	19.4	25.0		396	
5/10/1960	28.9	18.3	24.6		391	
5/11/1960	25.6	19.4	23.2		356	
5/12/1960	25.6	20.6	23.4		445	
5/13/1960	26.7	20.6	24.1		302	
5/14/1960	26.7	20.6	24.2		240	
5/15/1960	26.1	20.0	23.8		249	
5/16/1960	27.8	20.6	24.4		320	
5/17/1960	27.2	20.6	24.3		445	
5/18/1960	27.2	19.4	24.2		320	
5/19/1960	27.2	20.6	24.2		347	
5/20/1960	26.7	20.6	24.2		373	
5/21/1960	27.8	20.6	25.0		333	
5/22/1960	27.8	20.0	24.3		453	
5/23/1960	27.8	20.0	24.7		418	
5/24/1960	29.4	20.0	25.1		373	
5/25/1960	28.9	19.4	25.0		418	
5/26/1960	25.6	20.0	23.2		213	
