Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/1957	27.2	18.3	23.3		169	
1/2/1957	27.8	18.3	23.1		138	
1/3/1957	27.8	18.3	23.4		231	
1/4/1957	26.7	18.9	21.1		116	
1/5/1957	24.4	17.8	20.5		93	
1/6/1957	23.9	17.2	20.0		191	
1/7/1957	27.2	17.8	21.9		124	
1/8/1957	25.6	17.2	21.1		120	
1/9/1957	21.7	17.2	18.9		62	
1/10/1957	26.1	17.2	20.9		76	
1/11/1957	24.4	18.3	21.2		89	
1/12/1957	23.9	17.8	20.3		124	
1/13/1957	27.2	16.7	22.1		116	
1/14/1957	28.3	18.9	23.5		173	
1/15/1957	26.7	19.4	22.2		93	
1/16/1957	29.4	17.8	23.4		93	
1/17/1957	30.0	20.6	25.2		138	
1/18/1957	27.8	18.3	22.7		244	
1/19/1957	26.1	18.3	20.9		116	
1/20/1957	27.8	17.2	22.0		89	
1/21/1957	25.6	17.2	20.6		169	
1/22/1957	26.7	17.8	21.3		151	
1/23/1957	26.7	17.8	21.2		191	
1/24/1957	26.1	17.8	21.7		116	
1/25/1957	25.6	16.7	20.6		133	
1/26/1957	27.8	18.3	22.2		151	
1/27/1957	26.1	18.3	21.6		120	
1/28/1957	22.8	18.3	19.7		102	
1/29/1957	22.8	17.2	19.2		133	
1/30/1957	21.1	16.7	18.7		111	
1/31/1957	25.0	17.8	20.4		116	
2/1/1957	24.4	17.8	20.6		222	
2/2/1957	21.1	17.2	18.2		133	
2/3/1957	25.6	15.6	20.3		124	
2/4/1957	26.1	17.8	21.2		160	
2/5/1957	24.4	18.3	21.8		133	
2/6/1957	25.6	18.3	22.0		107	
2/7/1957	20.6	18.3	19.6		89	
2/8/1957	23.3	18.9	20.9		133	
2/9/1957	25.0	18.3	21.8		142	
2/10/1957	23.9	17.2	20.6		53	
2/11/1957	25.0	17.8	21.9		107	
2/12/1957	25.6	18.3	20.1		80	
2/13/1957	27.2	17.2	22.8		133	
2/14/1957	28.3	16.7	23.8		124	
2/15/1957	29.4	17.2	24.9		160	
2/16/1957	30.0	17.2	25.0		133	
2/17/1957	29.4	17.8	24.8		124	
2/18/1957	26.7	17.8	22.1		124	
2/19/1957	28.3	18.9	24.2		200	
2/20/1957	24.4	19.4	22.1		142	
2/21/1957	27.2	18.9	22.3		160	
2/22/1957	27.8	19.4	24.0		142	
2/23/1957	27.8	16.7	23.3		204	
2/24/1957	28.3	16.7	23.6		196	
2/25/1957	29.4	17.2	24.6		213	
2/26/1957	30.0	16.7	24.8		213	
2/27/1957	28.9	17.8	24.6		258	
2/28/1957	28.9	18.9	25.1		204	
3/1/1957	22.8	16.1	18.8		240	
3/2/1957	27.2	17.2	23.0		98	
3/3/1957	27.8	18.9	23.6		218	
3/4/1957	25.6	18.9	21.7		116	
3/5/1957	23.9	17.8	20.6		182	
3/6/1957	27.2	17.8	22.6		111	
3/7/1957	28.3	17.2	24.0		204	
3/8/1957	28.9	17.8	24.7		151	
3/9/1957	28.9	16.7	23.9		178	
3/10/1957	28.3	17.8	24.0		267	
3/11/1957	22.2	17.2	19.1		124	
3/12/1957	26.1	18.3	22.3		138	
3/13/1957	27.8	17.2	23.8		89	
3/14/1957	25.6	18.3	20.6		98	
3/15/1957	28.3	15.6	23.6		84	
3/16/1957	28.3	18.9	22.7		204	
3/17/1957	27.2	17.8	23.0		178	
3/18/1957	27.8	17.8	23.9		240	
3/19/1957	27.8	17.2	23.4		204	
3/20/1957	27.8	18.3	24.2		276	
3/21/1957	28.3	18.3	24.3		213	
3/22/1957	27.2	18.9	22.8		151	
3/23/1957	26.1	17.8	21.2		80	
3/24/1957	25.6	18.3	22.2		142	
3/25/1957	27.8	17.2	23.2		116	
3/26/1957	28.3	16.7	23.7		164	
3/27/1957	25.6	16.7	21.8		285	
3/28/1957	27.2	17.2	22.8		80	
3/29/1957	25.0	18.3	21.0		116	
3/30/1957	27.8	16.1	22.8		98	
3/31/1957	28.3	17.8	23.9		124	
4/1/1957	26.1	17.2	21.8		187	
4/2/1957	25.0	18.3	21.4		44	
4/3/1957	27.2	17.8	22.3		151	
4/4/1957	27.8	17.8	23.8		160	
4/5/1957	28.3	18.3	24.2		169	
4/6/1957	27.2	18.3	23.8		187	
4/7/1957	26.7	18.9	23.2		204	
