Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/6/1973	30.0	19.0	24.0		342	
1/7/1973	30.0	19.0	24.0		342	
1/8/1973	30.0	19.0	24.0		342	
1/9/1973	30.0	19.0	24.0		342	
1/10/1973	30.0	19.0	24.0		342	
1/11/1973	30.0	19.0	24.0		342	
1/12/1973	30.0	19.0	24.0		342	
1/13/1973	30.0	19.0	24.0		342	
1/14/1973	32.0	22.0	26.5		342	
1/15/1973	32.0	22.0	26.5		342	
1/16/1973	32.0	22.0	26.5		342	
1/17/1973	31.0	20.0	24.8		187	
1/18/1973	31.0	20.0	24.8		187	
1/19/1973	31.0	20.0	24.8		187	
1/20/1973	31.0	20.0	24.8		187	
1/21/1973	31.0	20.0	24.8		187	
1/22/1973	33.0	22.0	27.5		289	
1/23/1973	33.0	22.0	27.5		289	
1/24/1973	33.0	22.0	27.5		289	
1/25/1973	33.0	22.0	27.5		289	
1/26/1973	32.0	21.0	27.3		240	
1/27/1973	30.6	18.4	24.2		189	
1/28/1973	30.7	18.4	24.2		191	
1/29/1973	30.6	18.4	24.2		191	
1/30/1973	30.5	18.3	24.0		192	
1/31/1973	30.4	18.3	23.9		190	
2/1/1973	30.3	18.2	23.8		189	
2/2/1973	30.1	18.2	23.6		187	
2/3/1973	30.0	18.1	23.6		186	
2/4/1973	29.9	18.1	23.5		183	
2/5/1973	29.8	18.1	23.4		185	
2/6/1973	29.8	18.1	23.4		180	
2/7/1973	29.8	17.9	23.3		181	
2/8/1973	29.8	17.9	23.3		178	
2/9/1973	29.7	17.9	23.3		176	
2/10/1973	31.0	19.0	24.5		173	
2/11/1973	33.0	22.0	26.6		360	
2/12/1973	31.0	20.0	23.3		342	
2/13/1973	31.0	20.0	23.3		342	
2/14/1973	31.0	20.0	23.3		342	
2/15/1973	31.0	20.0	23.3		342	
2/16/1973	31.0	20.0	23.3		342	
2/17/1973	24.0	15.0	18.8		200	
2/18/1973	24.0	15.0	18.8		200	
2/19/1973	24.0	15.0	18.8		200	
2/20/1973	24.0	15.0	18.8		200	
2/21/1973	24.0	15.0	18.8		200	
2/22/1973	24.0	15.0	18.8		200	
2/23/1973	24.0	15.0	18.8		200	
2/24/1973	24.0	15.0	18.8		200	
2/25/1973	24.0	15.0	18.8		200	
2/26/1973	24.0	15.0	18.8		200	
2/27/1973	24.0	15.0	18.8		200	
2/28/1973	27.0	20.0	24.0		320	
3/1/1973	27.0	20.0	24.0		320	
3/2/1973	27.0	20.0	21.8		164	
3/3/1973	30.3	17.6	23.6		167	
3/4/1973	30.3	17.7	23.6		164	
3/5/1973	30.2	17.6	23.5		162	
