Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
7/2/1957	12.8	1.1	7.2	0	556	
7/3/1957	15.0	1.1	8.2	0	178	
7/4/1957	18.9	5.0	11.7	0	342	
7/5/1957	20.0	7.2	13.5	0	476	
7/6/1957	21.1	8.9	15.4	0	280	
7/7/1957	22.8	5.0	14.3	0	111	
7/8/1957	22.8	5.0	13.7	0	356	
7/9/1957	25.0	6.1	16.4	0	445	
7/10/1957	27.2	12.2	16.0	0	356	
7/11/1957	22.8	5.0	12.5	0	111	
7/12/1957	21.1	2.2	9.4	0	222	
7/13/1957	17.2	2.2	8.2	0	347	
7/14/1957	16.1	2.2	7.9	0	236	
7/15/1957	16.1	1.1	9.2	0	289	
7/16/1957	20.0	7.2	12.7	0	524	
7/17/1957	23.9	6.1	13.8	0	653	
7/18/1957	26.1	8.9	16.7	0	689	
7/19/1957	27.2	11.1	17.5	0	565	
7/20/1957	27.2	7.8	16.5	0	58	
7/21/1957	26.1	8.9	17.2	0	618	
7/22/1957	27.2	11.1	16.9	0	431	
7/23/1957	23.9	3.9	13.6	0	58	
7/24/1957	22.8	11.1	16.2	0	418	
7/25/1957	23.9	8.9	15.0	0	445	
7/26/1957	25.0	8.9	16.9	0	533	
7/27/1957	26.1	8.9	16.5	0	356	
7/28/1957	15.0	2.8	10.0	0	422	
7/29/1957	17.2	2.2	8.8	0	89	
7/30/1957	17.8	5.0	10.7	0	378	
7/31/1957	22.8	5.0	13.6	0	476	
8/1/1957	13.9	5.0	10.0	0	431	
8/2/1957	15.0	2.8	6.2	0	511	
8/3/1957	12.8	-2.8	5.2	0	320	
8/4/1957	17.8	1.1	9.9	0	253	
8/5/1957	22.8	6.1	14.1	0	333	
8/6/1957	26.1	8.9	17.8	0	445	
8/7/1957	27.2	10.0	18.1	0	600	
8/8/1957	27.2	8.9	17.9	0	489	
8/9/1957	26.1	8.9	17.5	0	556	
8/10/1957	27.2	8.9	16.3	0	302	
8/11/1957	16.1	6.1	11.8	0	853	
8/12/1957	17.8	1.1	7.1	0	222	
8/13/1957	17.8	1.1	7.1		222	
8/14/1957	18.9	2.8	11.5	0	289	
8/15/1957	23.9	2.8	12.3	0	387	
8/16/1957	27.2	7.2	16.0	0	462	
8/17/1957	27.8	12.8	20.1	0	609	
8/18/1957	28.9	12.8	20.3	0	751	
8/19/1957	30.0	15.0	20.0	0	742	
8/20/1957	20.0	8.9	13.2	0	502	
8/21/1957	15.0	5.0	9.8	0	684	
8/22/1957	17.8	1.1	9.7	0	333	
8/23/1957	21.1	6.1	13.2	0	365	
8/24/1957	27.2	7.2	17.2	0	311	
8/25/1957	27.8	10.0	19.0	0	347	
8/26/1957	20.0	7.2	12.7	0	436	
8/27/1957	22.8	3.9	12.6	0	111	
8/28/1957	28.9	8.9	18.9	0	320	
8/29/1957	32.2	12.2	20.7	0	147	
8/30/1957	27.2	12.8	18.8	0	147	
8/31/1957	33.9	17.2	23.8	0	653	
9/1/1957	18.9	6.1	12.9	0	333	
9/2/1957	22.8	3.9	13.6	0	231	
9/3/1957	25.0	8.9	16.9	0	445	
9/4/1957	30.0	8.9	20.4	0	445	
9/5/1957	31.1	16.1	24.3	0	689	
9/6/1957	32.2	16.1	23.8	0	658	
9/7/1957	32.8	16.1	21.1	0	347	
9/8/1957	22.8	8.9	15.3	0	378	
9/9/1957	18.9	5.0	12.1	0	498	
9/10/1957	22.8	6.1	14.0	0	267	
9/11/1957	27.2	8.9	18.8	0	400	
9/12/1957	22.2	13.9	17.2	0	533	
9/13/1957	20.0	2.8	11.4	0.7874	231	
9/14/1957	22.8	6.1	15.3	0	102	
9/15/1957	25.0	11.1	16.9	0	551	
9/16/1957	32.2	13.9	21.8	0	711	
9/17/1957	30.0	8.9	18.6	0	529	
9/18/1957	22.8	6.1	14.2	0	356	
9/19/1957	28.9	7.2	17.3	0	356	
9/20/1957	26.1	11.1	17.5	0	320	
9/21/1957	20.0	5.0	11.8	0	511	
9/22/1957	22.8	8.9	15.8	0	587	
9/23/1957	28.9	8.9	19.7	0	365	
9/24/1957	31.1	12.8	21.3	0	524	
9/25/1957	27.2	10.0	17.4	0	542	
9/26/1957	23.9	6.1	14.6	0	369	
9/27/1957	28.9	7.2	17.8	0	445	
9/28/1957	28.9	6.1	16.0	0	311	
9/29/1957	28.9	10.0	21.0	0	445	
9/30/1957	31.1	11.1	21.9	0	445	
10/1/1957	28.9	10.0	18.8	0	378	
10/2/1957	28.9	7.8	14.7	0	378	
10/3/1957	22.2	5.0	13.6	0	498	
10/4/1957	22.8	7.2	15.2	0	409	
10/5/1957	25.0	5.0	14.2	0	529	
10/6/1957	22.8	7.2	16.2	0	400	
10/7/1957	30.0	12.8	22.2	0	542	
10/8/1957	32.2	8.9	17.4		747	
10/9/1957	25.0	7.8	17.2	0	333	
10/10/1957	30.0	12.8	23.5	0	498	
10/11/1957	32.8	12.2	24.4	0	587	
10/12/1957	35.0	11.1	20.3	0	587	
10/13/1957	27.8	5.0	13.1	0	476	
10/14/1957	26.1	10.0	18.9	0	600	
10/15/1957	27.2	7.8	19.0	0	529	
10/16/1957	33.9	17.2	25.0	0	631	
10/17/1957	33.9	13.9	21.9	0.1016	631	
10/18/1957	31.1	8.9	20.2	0	378	
10/19/1957	31.1	11.1	22.1	0	276	
10/20/1957	32.8	16.1	21.8	0	542	
10/21/1957	32.8	17.2	21.9	0.4064	511	
10/22/1957	30.0	12.2	22.8	0	253	
10/23/1957	32.2	15.0	24.3	0	387	
10/24/1957	35.0	13.9	23.8	0	631	
10/25/1957	32.8	10.0	18.2	0	631	
10/26/1957	30.0	8.9	20.7	0	631	
10/27/1957	30.0	5.0	12.8	0	631	
10/28/1957	21.1	5.0	11.4	0	645	
10/29/1957	21.1	5.0	11.4		645	
10/30/1957	28.9	13.9	22.8	0	369	
10/31/1957	32.2	13.9	24.3	0	333	
11/1/1957	32.8	12.2	24.7	0	302	
11/2/1957	36.1	13.9	25.7	0	431	
11/3/1957	36.1	16.1	26.2	0	645	
11/4/1957	37.8	12.8	23.3	0	569	
11/5/1957	32.8	7.2	22.2	0	489	
11/6/1957	33.9	12.2	21.7	0	689	
11/7/1957	32.2	7.2	19.3	0	333	
11/8/1957	32.8	17.2	26.0	0	565	
11/9/1957	37.2	18.9	28.9	0	409	
11/10/1957	38.9	13.9	25.4	0	662	
11/11/1957	35.0	11.1	22.9	0	622	
11/12/1957	32.8	12.2	21.0	0	431	
11/13/1957	30.0	12.2	23.5	0	191	
11/14/1957	37.2	18.9	28.8	0	676	
11/15/1957	37.8	21.1	31.1	0	587	
11/16/1957	38.9	20.0	29.0	0	387	
11/17/1957	37.2	18.9	24.8	1.2954	489	
11/18/1957	32.8	12.8	23.6	0	342	
11/19/1957	36.1	17.2	28.9	0	267	
11/20/1957	37.8	18.9	27.9	0	533	
11/21/1957	37.2	22.2	26.8	0	600	
11/22/1957	33.9	18.9	22.9		524	
11/23/1957	32.2	17.8	25.8	0	391	
11/24/1957	33.9	15.0	23.9	0	658	
11/25/1957	32.8	15.0	24.7	0	76	
11/26/1957	36.1	17.2	28.5	0	231	
