Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	WindSp (km/day)	
1/1/2006	29.0	18.0	24.6	684	
1/2/2006	32.0	14.0	22.8	440	
1/3/2006	30.0	14.0	19.8	467	
1/4/2006	26.0	1.0	16.6	818	
1/5/2006	24.0	-4.0	9.1	729	
1/6/2006	21.0	-8.0	8.2	311	
1/7/2006	23.0	-8.0	7.6	587	
1/8/2006	27.0	-8.0	15.9	929	
1/9/2006	24.0	-8.0	11.2	791	
1/10/2006	24.0	-8.0	-4.0	613	
1/11/2006	26.0	-8.0	14.8	689	
1/12/2006	26.0	-8.0	4.3	662	
1/13/2006	26.0	-8.0	3.7	502	
1/14/2006	26.0	-8.0	0.8	609	
1/15/2006	26.0	-4.0	12.3	720	
1/16/2006	26.0	-4.0	3.6	182	
1/17/2006	29.0	-4.0	16.4	582	
1/18/2006	21.0	-3.0	9.1	729	
1/19/2006	26.0	6.0	18.5	427	
1/20/2006	25.0	14.0	20.3	213	
1/21/2006	23.0	14.0	7.1	316	
1/22/2006	24.0	14.0	7.4	662	
1/23/2006	27.0	17.0	21.1	760	
1/24/2006	24.0	-1.0	14.8	578	
1/25/2006	26.0	-2.0	14.4	440	
1/26/2006	30.0	-2.0	16.4	338	
1/27/2006	30.0	-2.0	6.1	311	
1/28/2006	24.0	-2.0	10.5	631	
1/29/2006	25.0	12.0	18.7	911	
1/30/2006	25.0	12.0	14.6	747	
1/31/2006	25.0	12.0	5.0	391	
2/1/2006	25.0	12.0	9.4	338	
2/2/2006	30.0	12.0	14.7	458	
2/3/2006	30.0	12.0	5.7	476	
2/4/2006	26.0	12.0	11.7	636	
2/5/2006	26.0	-3.0	13.4	791	
2/6/2006	26.0	-3.0	3.0	302	
2/7/2006	23.0	-3.0	6.8	391	
2/8/2006	25.0	-3.0	10.8	822	
2/9/2006	27.0	4.0	15.2	680	
2/10/2006	29.0	4.0	15.4	271	
2/11/2006	26.0	4.0	9.6	222	
2/12/2006	26.0	4.0	2.6	369	
2/13/2006	26.0	-5.0	10.2	293	
2/14/2006	27.0	-5.0	13.8	476	
2/15/2006	28.0	16.0	22.6	556	
2/16/2006	28.0	12.0	20.3	453	
2/17/2006	33.0	12.0	18.2	316	
2/18/2006	26.0	12.0	12.4	382	
2/19/2006	26.0	12.0	8.3	396	
2/20/2006	26.0	12.0	13.2	680	
2/21/2006	26.0	0	14.8	684	
2/22/2006	26.0	2.0	15.0	587	
2/23/2006	24.0	14.0	19.1	378	
2/24/2006	9.0	-5.0	2.1	276	
2/25/2006	25.0	0	12.9	191	
2/26/2006	27.0	0	11.8	276	
2/27/2006	27.0	0	6.9	320	
2/28/2006	27.0	0	10.8	365	
3/1/2006	24.0	0	7.7	249	
3/2/2006	27.0	16.0	21.0	796	
3/3/2006	26.0	15.0	20.4	796	
3/4/2006	37.0	16.0	29.0	458	
3/5/2006	30.0	19.0	25.1	191	
3/6/2006	36.0	24.0	29.8	236	
3/7/2006	37.0	19.0	29.3	382	
3/8/2006	28.0	-2.0	14.6	591	
3/9/2006	27.0	12.0	18.6	676	
3/10/2006	26.0	10.0	18.6	622	
3/11/2006	26.0	14.0	19.6	720	
3/12/2006	27.0	14.0	20.3	987	
3/13/2006	32.0	12.0	21.9	338	
3/14/2006	26.0	12.0	19.1	76	
3/15/2006	26.0	12.0	1.2	236	
3/16/2006	27.0	12.0	12.3	653	
3/17/2006	25.0	-1.0	15.3	671	
3/18/2006	25.0	-1.0	5.3	560	
3/19/2006	24.0	-1.0	10.8	667	
3/20/2006	24.0	11.0	17.6	729	
3/21/2006	25.0	12.0	17.3	871	
3/22/2006	29.0	5.0	19.6	578	
3/23/2006	32.0	16.0	25.1	253	
3/24/2006	38.0	18.0	28.3	249	
3/25/2006	30.0	15.0	19.9	324	
3/26/2006	30.0	14.0	20.2	636	
3/27/2006	27.0	15.0	19.2	978	
3/28/2006	22.0	11.0	16.3	276	
3/29/2006	18.0	12.0	14.6	351	
3/30/2006	20.0	12.0	15.2	253	
3/31/2006	24.0	12.0	18.0	231	
4/1/2006	29.0	16.0	23.7	213	
4/2/2006	37.0	23.0	26.7	258	
4/3/2006	25.0	19.0	21.6	293	
4/4/2006	31.0	16.0	21.4	365	
4/5/2006	31.0	15.0	19.8	289	
4/6/2006	24.0	14.0	18.6	409	
4/7/2006	27.0	15.0	19.4	893	
4/8/2006	24.0	12.0	17.9	684	
4/9/2006	23.0	12.0	16.6	413	
4/10/2006	21.0	11.0	15.1	382	
4/11/2006	23.0	10.0	15.5	324	
4/12/2006	25.0	9.0	14.2	249	
4/13/2006	22.0	11.0	15.3	351	
4/14/2006	27.0	12.0	18.9	418	
4/15/2006	31.0	15.0	22.3	365	
4/16/2006	24.0	15.0	19.4	449	
4/17/2006	24.0	15.0	19.4	449	
4/18/2006	24.0	15.0	19.4	449	
4/19/2006	24.0	15.0	19.4	449	
4/20/2006	23.0	18.0	20.5	591	
4/21/2006	20.0	15.0	17.0	587	
4/22/2006	17.0	12.0	14.8	524	
4/23/2006	21.0	11.0	14.6	618	
4/24/2006	23.0	11.0	16.8	373	
4/25/2006	28.0	13.0	20.8	276	
4/26/2006	37.0	22.0	28.3	413	
4/27/2006	37.0	22.0	29.2	462	
4/28/2006	37.0	21.0	28.5	373	
4/29/2006	35.0	17.0	25.8	360	
4/30/2006	25.0	13.0	17.9	565	
5/1/2006	19.0	11.0	14.8	253	
5/2/2006	20.0	13.0	16.3	262	
5/3/2006	22.0	13.0	16.5	391	
5/4/2006	20.0	11.0	14.6	351	
5/5/2006	18.0	14.0	15.6	160	
5/6/2006	22.0	14.0	16.7	449	
5/7/2006	28.0	12.0	19.4	333	
5/8/2006	34.0	20.0	25.7	378	
5/9/2006	34.0	19.0	25.1	298	
5/10/2006	34.0	17.0	24.7	204	
5/11/2006	33.0	18.0	24.0	222	
5/12/2006	27.0	15.0	19.3	191	
5/13/2006	18.0	14.0	15.8	276	
5/14/2006	21.0	13.0	15.4	204	
5/15/2006	19.0	11.0	13.9	129	
5/16/2006	19.0	12.0	14.3	138	
5/17/2006	20.0	10.0	14.9	218	
5/18/2006	18.0	15.0	16.1	524	
5/19/2006	17.0	14.0	15.5	413	
5/20/2006	17.0	12.0	14.5	551	
5/21/2006	19.0	10.0	13.6	645	
5/22/2006	20.0	10.0	14.4	373	
5/23/2006	23.0	11.0	15.6	653	
5/24/2006	27.0	17.0	19.8	560	
5/25/2006	29.0	14.0	21.2	409	
