Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/2006	28.0	19.0	22.8		267	
1/2/2006	29.0	18.0	21.3		240	
1/3/2006	28.0	17.0	21.2		151	
1/4/2006	25.0	18.0	21.2		151	
1/5/2006	27.0	17.0	20.9		116	
1/6/2006	24.0	17.0	18.7		124	
1/7/2006	26.0	16.0	20.3		164	
1/8/2006	28.0	13.0	20.6		71	
1/9/2006	31.0	15.0	23.1		107	
1/10/2006	28.0	17.0	21.7		102	
1/11/2006	28.0	17.0	21.2		120	
1/12/2006	31.0	15.0	23.7		120	
1/13/2006	30.0	17.0	21.2		120	
1/14/2006	28.0	17.0	19.9		124	
1/15/2006	28.0	17.0	21.3		200	
1/16/2006	27.0	17.0	21.1		187	
1/17/2006	26.0	18.0	20.6		164	
1/18/2006	26.0	18.0	20.3		209	
1/19/2006	25.0	17.0	20.2		133	
1/20/2006	28.0	16.0	21.8		129	
1/21/2006	31.0	16.0	24.0		156	
1/22/2006	31.0	17.0	23.7		124	
1/23/2006	31.0	17.0	23.8		107	
1/24/2006	29.0	19.0	23.5		142	
1/25/2006	25.0	17.0	21.4		187	
1/26/2006	28.0	18.0	21.7		209	
1/27/2006	26.0	18.0	20.4		107	
1/28/2006	26.0	17.0	20.5		89	
1/29/2006	29.0	18.0	21.8		107	
1/30/2006	28.0	15.0	20.2		133	
1/31/2006	27.0	16.0	21.3		160	
2/1/2006	26.0	18.0	20.6		196	
2/2/2006	23.0	18.0	19.6		200	
2/3/2006	23.0	16.0	19.1		62	
2/4/2006	25.0	18.0	20.6		76	
2/5/2006	29.0	18.0	22.6		120	
2/6/2006	28.0	15.0	21.4		129	
2/7/2006	29.0	14.0	22.1		124	
2/8/2006	28.0	14.0	20.8		80	
2/9/2006	30.0	18.0	23.4		93	
2/10/2006	31.0	16.0	23.0		151	
2/11/2006	30.0	17.0	23.6		142	
2/12/2006	28.0	17.0	22.4		107	
2/13/2006	29.0	18.0	22.5		89	
2/14/2006	27.0	16.0	21.5		196	
2/15/2006	27.0	17.0	21.9		169	
2/16/2006	24.0	17.0	18.9		187	
2/17/2006	28.0	17.0	22.1		244	
2/18/2006	27.0	17.0	21.2		156	
2/19/2006	27.0	17.0	19.8		80	
2/20/2006	26.0	16.0	19.7		76	
2/21/2006	25.0	17.0	19.3		107	
2/22/2006	25.0	17.0	19.9		142	
2/23/2006	22.0	18.0	19.2		169	
2/24/2006	22.0	15.0	17.8		129	
2/25/2006	25.0	13.0	18.5		76	
2/26/2006	27.0	15.0	20.9		120	
2/27/2006	26.0	13.0	19.8		102	
2/28/2006	28.0	13.0	21.5		129	
3/1/2006	29.0	14.0	21.1		111	
3/2/2006	29.0	13.0	21.1		93	
3/3/2006	29.0	11.0	21.2		93	
3/4/2006	29.0	15.0	21.3		191	
3/5/2006	24.0	16.0	18.6		347	
3/6/2006	20.0	14.0	17.0		307	
3/7/2006	23.0	14.0	17.6		289	
3/8/2006	25.0	13.0	18.4		187	
3/9/2006	28.0	14.0	20.9		196	
3/10/2006	29.0	15.0	21.9		191	
3/11/2006	29.0	16.0	22.4		187	
3/12/2006	28.0	15.0	20.9		173	
3/13/2006	23.0	15.0	17.8		231	
3/14/2006	25.0	15.0	18.6		138	
3/15/2006	24.0	17.0	19.9		93	
3/16/2006	28.0	17.0	19.7		67	
