Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/2011	31.0	17.6	23.6	6.7310	164	
1/2/2011	30.7	17.6	22.9	9.3726	138	
1/3/2011	29.2	20.5	22.9	0.0762	111	
1/4/2011	29.2	19.1	23.2	0.7620	160	
1/5/2011	29.2	19.6	21.1		151	
1/6/2011	33.4	20.5	26.3	0.0762	138	
1/7/2011	33.4	18.3	21.9	1.3716	102	
1/8/2011	33.4	18.3	21.9		102	
1/9/2011	33.4	18.3	21.9		102	
1/10/2011	33.4	18.3	21.9		102	
1/11/2011	34.3	23.0	24.3	0	133	
1/12/2011	34.3	19.5	26.1	0.8890	133	
1/13/2011	33.4	20.0	24.7	0.0508	160	
1/14/2011	32.0	17.9	23.0	0	120	
1/15/2011	34.2	18.0	25.2		160	
1/16/2011	34.2	19.0	24.9		156	
1/17/2011	34.1	18.0	22.6	2.5908	182	
1/18/2011	32.0	19.0	22.7	0.2794	147	
1/19/2011	28.4	17.0	19.7	0.2794	178	
1/20/2011	26.9	17.0	21.3	0	151	
1/21/2011	26.9	17.9	21.6	0.2032	151	
1/22/2011	27.3	18.0	21.6	0.2032	107	
1/23/2011	31.2	22.0	24.5	0	120	
1/24/2011	31.4	18.0	24.6		151	
1/25/2011	32.4	17.0	24.9		173	
1/26/2011	32.6	17.0	25.3		187	
1/27/2011	32.6	20.0	23.2	0.0508	164	
1/28/2011	29.4	19.0	22.7	0.6604	111	
1/29/2011	32.4	19.0	23.9	0	160	
1/30/2011	32.4	20.0	23.9		138	
1/31/2011	33.8	18.0	25.6		191	
2/1/2011	33.8	18.0	25.2		213	
2/2/2011	34.1	18.0	26.0		231	
2/3/2011	34.1	19.0	22.5	0.9144	191	
2/4/2011	31.6	19.0	19.8	0.9398	187	
2/5/2011	27.5	19.3	23.0	0.5588	218	
2/6/2011	31.0	19.0	24.3	0.5588	249	
2/7/2011	31.5	16.6	25.6	0	182	
2/8/2011	31.5	19.2	24.3	0.4572	169	
2/9/2011	29.5	18.5	22.7	0	156	
2/10/2011	32.5	18.6	24.6		196	
2/11/2011	34.7	18.3	25.4	0	169	
2/12/2011	34.7	19.0	25.2	0.3556	191	
2/13/2011	32.2	17.6	25.9	0.3556	204	
2/14/2011	32.5	18.6	26.1	0.1778	187	
2/15/2011	33.5	19.5	28.9	0.2032	285	
2/16/2011	34.8	17.7	30.7	0	280	
2/17/2011	34.8	19.3	28.5	0.3810	240	
2/18/2011	35.1	19.3	26.9	0	204	
2/19/2011	35.1	19.0	24.7	0	164	
2/20/2011	33.8	18.0	24.9		169	
2/21/2011	33.8	20.0	24.9	0.0508	249	
2/22/2011	32.4	18.0	23.2	0.3810	173	
2/23/2011	30.9	19.0	22.3	1.5494	138	
