Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	WindSp (km/day)	
1/1/2006	30.0	19.0	22.3	227	
1/2/2006	28.0	19.0	21.7	218	
1/3/2006	30.0	17.0	22.9	253	
1/4/2006	28.0	19.0	22.3	209	
1/5/2006	28.0	18.0	21.1	218	
1/6/2006	23.0	17.0	18.6	262	
1/7/2006	29.0	16.0	21.2	227	
1/8/2006	30.0	12.0	21.4	164	
1/9/2006	33.0	15.0	24.0	231	
1/10/2006	30.0	16.0	21.7	222	
1/11/2006	29.0	18.0	21.9	213	
1/12/2006	34.0	15.0	23.7	240	
1/13/2006	32.0	17.0	22.2	187	
1/14/2006	30.0	16.0	19.5	196	
1/15/2006	27.0	16.0	19.9	213	
1/16/2006	29.0	15.0	20.5	200	
1/17/2006	26.0	18.0	20.8	116	
1/18/2006	28.0	17.0	20.8	191	
1/19/2006	25.0	16.0	19.3	231	
1/20/2006	29.0	17.0	22.8	213	
1/21/2006	31.0	16.0	23.7	218	
1/22/2006	31.0	16.0	23.3	169	
1/23/2006	32.0	16.0	24.2	187	
1/24/2006	32.0	18.0	23.9	182	
1/25/2006	28.0	18.0	21.8	187	
1/26/2006	25.0	19.0	20.9	156	
1/27/2006	27.0	18.0	19.4	151	
1/28/2006	27.0	16.0	20.9	147	
1/29/2006	29.0	17.0	21.8	142	
1/30/2006	31.0	17.0	20.8	124	
1/31/2006	29.0	17.0	21.6	178	
2/1/2006	28.0	18.0	22.2	191	
2/2/2006	25.0	17.0	19.8	196	
2/3/2006	24.0	15.0	19.4	196	
2/4/2006	28.0	17.0	21.7	129	
2/5/2006	29.0	18.0	23.2	231	
2/6/2006	30.0	15.0	21.7	182	
2/7/2006	30.0	14.0	22.4	209	
2/8/2006	30.0	14.0	22.7	182	
2/9/2006	32.0	15.0	23.1	147	
2/10/2006	32.0	15.0	23.7	164	
2/11/2006	33.0	16.0	24.7	160	
2/12/2006	31.0	19.0	23.2	138	
2/13/2006	30.0	16.0	22.5	120	
2/14/2006	30.0	17.0	21.4	151	
2/15/2006	27.0	19.0	21.1	142	
2/16/2006	25.0	18.0	20.3	187	
2/17/2006	29.0	18.0	22.6	231	
2/18/2006	28.0	17.0	21.8	138	
2/19/2006	28.0	18.0	20.7	111	
2/20/2006	28.0	17.0	20.6	156	
2/21/2006	27.0	17.0	20.1	182	
2/22/2006	26.0	17.0	20.1	169	
2/23/2006	25.0	18.0	20.1	213	
2/24/2006	22.0	15.0	17.9	178	
2/25/2006	25.0	15.0	20.1	116	
2/26/2006	28.0	13.0	21.1	200	
2/27/2006	27.0	15.0	20.2	200	
2/28/2006	28.0	16.0	21.4	160	
3/1/2006	30.0	14.0	20.8	160	
3/2/2006	30.0	11.0	21.0	169	
3/3/2006	30.0	11.0	21.1	151	
3/4/2006	32.0	15.0	22.4	156	
3/5/2006	26.0	16.0	20.7	307	
3/6/2006	23.0	16.0	19.0	351	
3/7/2006	24.0	14.0	18.4	253	
3/8/2006	27.0	14.0	19.3	191	
3/9/2006	30.0	15.0	21.6	182	
3/10/2006	30.0	15.0	21.9	129	
3/11/2006	30.0	18.0	22.8	147	
3/12/2006	28.0	17.0	21.0	129	
3/13/2006	25.0	14.0	18.8	209	
3/14/2006	28.0	16.0	20.2	156	
3/15/2006	28.0	17.0	21.4	124	
3/16/2006	29.0	18.0	20.7	124	
3/17/2006	27.0	17.0	20.1	182	
3/18/2006	28.0	16.0	21.2	209	
3/19/2006	28.0	16.0	19.6	178	
3/20/2006	28.0	15.0	18.8	151	
3/21/2006	28.0	16.0	20.1	151	
3/22/2006	27.0	17.0	20.2	191	
3/23/2006	25.0	16.0	20.2	160	
3/24/2006	23.0	17.0	19.3	191	
3/25/2006	27.0	17.0	21.2	147	
3/26/2006	27.0	17.0	20.1	160	
3/27/2006	29.0	16.0	21.1	129	
3/28/2006	29.0	13.0	20.7	116	
3/29/2006	29.0	12.0	19.7	151	
3/30/2006	27.0	15.0	20.2	191	
3/31/2006	28.0	15.0	21.3	196	
4/1/2006	28.0	16.0	22.1	209	
4/2/2006	25.0	14.0	19.3	182	
4/3/2006	28.0	13.0	20.2	182	
4/4/2006	28.0	14.0	20.1	200	
4/5/2006	27.0	12.0	19.3	187	
4/6/2006	27.0	12.0	19.3	204	
4/7/2006	26.0	16.0	20.4	164	
4/8/2006	29.0	16.0	21.3	156	
4/9/2006	29.0	14.0	20.6	196	
4/10/2006	29.0	10.0	19.3	147	
4/11/2006	29.0	13.0	20.1	133	
4/12/2006	28.0	17.0	21.6	173	
4/13/2006	27.0	14.0	19.9	218	
4/14/2006	25.0	16.0	19.6	116	
4/15/2006	29.0	17.0	22.0	240	
4/16/2006	22.0	16.0	18.4	93	
4/17/2006	22.0	15.0	17.6	178	
