Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/2005	36.2	18.1	27.1	0.1524	164	
1/2/2005	36.2	18.5	23.9	0.1270	182	
1/3/2005	35.5	19.7	26.3		276	
1/4/2005	36.7	18.3	25.1		222	
1/5/2005	37.5	16.9	24.6	0.1016	258	
1/6/2005	37.5	19.5	24.9	0.8890	227	
1/7/2005	37.3	18.9	24.3		244	
1/8/2005	34.0	17.0	27.4	0.0254	253	
1/9/2005	37.7	18.7	28.6		227	
1/10/2005	37.7	19.0	26.7	0.4826	240	
1/11/2005	34.5	18.1	22.3	0.3302	160	
1/12/2005	29.0	17.4	20.2	0.6096	178	
1/13/2005	29.0	17.4	20.2		178	
1/14/2005	29.0	17.4	20.2		178	
1/15/2005	29.0	17.4	20.2		178	
1/16/2005	31.8	18.6	23.8	0.5334	196	
1/17/2005	32.0	19.1	22.7	1.5240	204	
1/18/2005	32.0	17.9	20.5	0.2540	120	
1/19/2005	27.8	18.7	21.9	0.5080	80	
1/20/2005	31.6	19.3	23.3		178	
1/21/2005	32.7	18.3	23.9	0	213	
1/22/2005	32.7	16.4	23.8	0	200	
1/23/2005	32.6	16.5	23.9	0	316	
1/24/2005						
1/25/2005						
1/26/2005						
1/27/2005						
1/28/2005						
1/29/2005						
1/30/2005						
1/31/2005						
2/1/2005						
2/2/2005						
2/3/2005						
2/4/2005						
2/5/2005						
2/6/2005						
2/7/2005	35.5	16.9	30.3		289	
2/8/2005	36.6	19.6	25.1	0.0508	218	
2/9/2005	36.6	18.9	25.5	0.3302	182	
2/10/2005	34.3	18.1	23.8	0.0254	244	
2/11/2005	35.8	17.1	25.7		200	
2/12/2005	36.9	17.2	26.0	0.3302	222	
2/13/2005	36.9	19.2	25.4		307	
2/14/2005	33.8	17.6	24.3	0.4064	196	
2/15/2005	30.6	17.4	22.2	2.3114	213	
2/16/2005	31.0	18.0	21.3	1.1684	178	
2/17/2005	31.0	18.4	20.7	3.0734	218	
2/18/2005	28.8	18.4	22.8	1.3970	133	
2/19/2005	29.1	16.9	21.9	0.0254	258	
2/20/2005	30.7	14.2	22.1		160	
2/21/2005	33.1	13.8	23.9		151	
2/22/2005	33.3	14.5	24.0	0	173	
2/23/2005	33.6	13.2	23.8	0	160	
2/24/2005	34.0	12.2	24.1	0	173	
2/25/2005	34.6	13.0	24.3		138	
2/26/2005	36.0	12.9	25.3	0	173	
2/27/2005	36.0	14.8	24.2	0.2286	200	
2/28/2005	34.0	18.7	25.1	0.7112	196	
3/1/2005	33.8	18.7	23.9	0.7366	204	
3/2/2005	35.5	17.1	23.4	0.5334	164	
3/3/2005	36.4	15.7	25.3	0.0254	147	
3/4/2005	36.4	21.2	26.4		173	
3/5/2005	35.3	17.0	25.0		276	
3/6/2005						
3/7/2005						
3/8/2005						
3/9/2005						
3/10/2005						
3/11/2005						
3/12/2005						
3/13/2005						
3/14/2005						
3/15/2005						
3/16/2005						
3/17/2005	30.6	12.5	25.3		160	
3/18/2005	30.6	16.3	20.9	0.7620	196	
3/19/2005	30.6	16.3	20.9		196	
3/20/2005	30.6	16.3	20.9		196	
3/21/2005	30.6	16.3	20.9		196	
3/22/2005	25.4	16.9	19.9	0.0508	222	
3/23/2005	29.2	16.3	21.1	1.5494	138	
3/24/2005	29.2	17.1	20.3	0.5588	133	
3/25/2005	29.2	17.3	21.3	0.0254	200	
3/26/2005	29.2	13.2	20.1		191	
3/27/2005	28.6	12.6	17.8	0	160	
3/28/2005	30.1	10.2	19.7	0	160	
3/29/2005	31.7	11.0	21.1	0	151	
3/30/2005	32.9	12.3	21.3		147	
3/31/2005	32.9	13.8	21.7		178	
4/1/2005	32.7	13.3	21.6	0	151	
4/2/2005	32.1	12.1	22.0	0	156	
4/3/2005	32.1	15.8	22.7	0.1270	178	
4/4/2005	30.2	15.0	23.0	0	129	
4/5/2005	30.2	18.4	21.8	0.0762	307	
4/6/2005	29.9	14.0	21.1	0.0254	222	
4/7/2005	31.6	10.4	20.8		160	
4/8/2005	31.6	10.4	20.8		160	
4/9/2005	31.6	10.4	20.8		160	
4/10/2005	31.6	10.4	20.8		160	
4/11/2005	31.6	10.4	20.8		160	
4/12/2005	32.3	12.3	22.2	0	156	
4/13/2005	32.7	14.0	22.8	0	173	
4/14/2005	32.7	15.4	23.8	0	187	
4/15/2005	33.0	12.9	23.3	0	227	
