Date	Air Temp Max(ºC)	Air Temp Min(ºC)	Air Temp Avg(ºC)	Rainfall (cm)	WindSp (km/day)	
1/1/2012	33.0	15.0	22.2		360	
1/2/2012	29.0	15.0	20.3		329	
1/3/2012	32.0	16.0	22.3		333	
1/4/2012	32.0	16.0	20.8		324	
1/5/2012						
1/6/2012						
1/7/2012						
1/8/2012						
1/9/2012						
1/10/2012						
1/11/2012						
1/12/2012						
1/13/2012						
1/14/2012						
1/15/2012						
1/16/2012						
1/17/2012						
1/18/2012	23.0	20.0	21.2		320	
1/19/2012	23.0	20.0	21.2		320	
1/20/2012	23.0	20.0	21.2		320	
1/21/2012	23.0	20.0	21.2		320	
1/22/2012	23.0	20.0	21.2		320	
1/23/2012	23.0	20.0	21.2		320	
1/24/2012	32.0	20.0	27.0		431	
1/25/2012						
1/26/2012						
1/27/2012						
1/28/2012						
1/29/2012						
1/30/2012						
1/31/2012						
2/1/2012						
2/2/2012						
2/3/2012						
2/4/2012						
2/5/2012						
2/6/2012						
2/7/2012						
2/8/2012						
2/9/2012						
2/10/2012						
2/11/2012						
2/12/2012						
2/13/2012						
2/14/2012						
2/15/2012						
2/16/2012						
2/17/2012						
2/18/2012						
2/19/2012						
2/20/2012	32.0	19.0	22.5		258	
2/21/2012	32.0	19.0	22.5		258	
2/22/2012	32.0	19.0	22.5		258	
2/23/2012	25.0	20.0	22.1		147	
2/24/2012	25.0	20.0	22.1		147	
2/25/2012	25.0	20.0	22.1		147	
2/26/2012	25.0	20.0	22.1		147	
2/27/2012	39.0	23.0	30.8		320	
2/28/2012	30.0	20.0	22.9		120	
2/29/2012	30.0	20.0	22.9		120	
3/1/2012	30.0	20.0	22.9		120	
3/2/2012	34.1	16.0	31.1		338	
3/3/2012	34.5	17.0	26.8		369	
3/4/2012	34.5	16.7	24.8		276	
3/5/2012	35.0	16.7	29.5		316	
3/6/2012	37.0	17.0	29.6		302	
3/7/2012	37.0	14.6	24.7		320	
3/8/2012	37.0	14.4	24.9		316	
3/9/2012	36.1	14.4	28.1		244	
3/10/2012	40.0	23.2	33.6		360	
3/11/2012	41.0	19.2	33.2		271	
3/12/2012	42.5	18.9	30.0		311	
3/13/2012	42.5	18.9	28.9		280	
3/14/2012	36.7	16.2	21.6		302	
3/15/2012	34.6	15.8	20.9		147	
3/16/2012	34.6	15.8	20.9		147	
3/17/2012	34.1	14.0	26.6		262	
3/18/2012	36.2	14.0	29.1		267	
3/19/2012	40.5	21.1	33.3		382	
3/20/2012	42.1	23.7	35.6		356	
3/21/2012	42.3	23.7	35.6		333	
3/22/2012	42.1	24.9	36.4		280	
3/23/2012	42.1	24.0	34.3		347	
3/24/2012	41.1	24.0	32.1		436	
3/25/2012	41.3	17.6	26.5		218	
3/26/2012	34.9	17.9	25.4	0.6096	360	
3/27/2012	34.9	16.4	18.5	0.3048	302	
3/28/2012	30.0	14.4	22.8	0	213	
3/29/2012	31.0	14.4	22.1		164	
3/30/2012	31.0	15.3	23.1		365	
3/31/2012	33.0	14.0	24.9		244	
4/1/2012	37.0	14.4	25.9		231	
4/2/2012	39.0	16.0	29.5		302	
4/3/2012	39.5	20.2	30.2		338	
4/4/2012	40.8	21.4	29.8		302	
4/5/2012	40.8	21.7	28.7		293	
4/6/2012	38.5	20.9	27.1		236	
4/7/2012	37.7	17.0	22.8		258	
4/8/2012	35.7	12.6	22.6		204	
4/9/2012	35.5	12.6	23.8		173	
4/10/2012	40.0	13.3	29.9		382	
4/11/2012	40.4	15.1	30.3		307	
4/12/2012	40.4	15.1	30.3		307	
4/13/2012	40.4	15.1	30.3		307	
4/14/2012	40.4	15.1	30.3		307	
4/15/2012	40.4	15.1	30.3		307	
4/16/2012	40.4	15.1	30.3		307	
4/17/2012	40.4	15.1	30.3		307	
4/18/2012	40.4	15.1	30.3		307	
4/19/2012	40.4	15.1	30.3		307	
4/20/2012	40.4	15.1	30.3		307	
4/21/2012	19.0	16.0	17.5		142	
4/22/2012	14.5	11.0	12.9		138	
4/23/2012	14.5	11.0	12.9		138	
4/24/2012	14.5	11.0	12.9		138	
4/25/2012	14.5	11.0	12.9		138	
4/26/2012	14.5	11.0	12.9		138	
4/27/2012	14.5	11.0	12.9		138	
4/28/2012	14.5	11.0	12.9		138	
4/29/2012	14.5	11.0	12.9		138	
4/30/2012	37.2	17.9	21.8		178	
5/1/2012	27.8	14.2	20.3		142	
5/2/2012	37.3	14.2	21.2		169	
5/3/2012	34.6	15.0	19.3		200	
5/4/2012	34.6	13.6	18.9		213	
5/5/2012	28.0	13.6	20.1		187	
5/6/2012	41.0	15.1	27.9		311	
5/7/2012	42.1	19.0	29.8		289	
5/8/2012	42.1	21.7	30.0		316	
5/9/2012	41.0	20.5	29.2		311	
5/10/2012	41.0	20.5	29.2		311	
5/11/2012	39.6	20.4	29.2		311	
5/12/2012	39.6	18.1	29.2		311	
5/13/2012	39.6	18.1	29.2		311	
5/14/2012	35.2	15.7	29.2		311	
5/15/2012	35.2	15.7	29.2		311	
5/16/2012	38.1	16.6	29.2		311	
5/17/2012	38.5	16.6	29.2		311	
5/18/2012	38.5	16.6				
5/19/2012	36.8	12.8				
5/20/2012	31.6	10.8				
5/21/2012	31.6	10.8				
5/22/2012	34.7	12.5				
5/23/2012	34.7	14.0				
5/24/2012	33.7	11.0				
5/25/2012	30.6	10.3				
5/26/2012	30.6	10.3				
5/27/2012	30.6	10.3				
5/28/2012	30.6	10.3				
5/29/2012	30.6	10.3				
5/30/2012	30.6	10.3				
5/31/2012	30.6	10.3				
6/1/2012	37.5	19.2	26.8		347	
6/2/2012	37.5	19.2	26.7		516	
6/3/2012	35.5	17.8	25.2		333	
6/4/2012	34.2	17.7	25.5		498	
6/5/2012	34.2	16.0	22.9		320	
6/6/2012	32.9	13.2	21.8		262	
6/7/2012	31.1	9.4	18.5		200	
6/8/2012	22.0	5.0	13.1		240	
6/9/2012	22.0	5.0	13.1		240	
6/10/2012	22.0	5.0	13.1		240	
6/11/2012	33.0	9.6	23.9		400	
6/12/2012	33.0	9.6	23.9		400	
6/13/2012	33.0	9.6	23.9		400	
6/14/2012	33.0	9.6	23.9		400	
6/15/2012	33.0	9.6	23.9		400	
6/16/2012	33.0	9.6	23.9		400	
6/17/2012	24.0	7.1	13.4		240	
6/18/2012	26.0	6.9	15.4		218	
6/19/2012	26.3	6.9	11.9		258	
6/20/2012	26.3	7.0	12.3		156	
6/21/2012	21.0	7.0	12.9		164	
6/22/2012	19.3	7.1	10.0		124	
6/23/2012						
6/24/2012						
6/25/2012						
6/26/2012						
6/27/2012						
6/28/2012						
6/29/2012						
6/30/2012						
7/1/2012						
7/2/2012						
7/3/2012						
7/4/2012						
7/5/2012						
7/6/2012						
7/7/2012						
7/8/2012						
7/9/2012						
7/10/2012	33.4	12.0	25.9		244	
7/11/2012	34.7	11.5	21.1		213	
7/12/2012	34.7	11.5	20.8		182	
7/13/2012	24.1	6.9	14.1		249	
7/14/2012	24.6	3.0	14.7		409	
7/15/2012	28.0	14.8	20.1		725	
7/16/2012	29.8	7.2	19.2		582	
7/17/2012	32.6	14.5	22.2		400	
7/18/2012	33.2	14.5	23.6		338	
7/19/2012	33.6	10.9	19.1		218	
7/20/2012	26.0	6.9	16.0		173	
7/21/2012	28.6	4.9	13.8		218	
7/22/2012	27.0	4.9	16.0		253	
7/23/2012	29.0	5.8	17.6		240	
7/24/2012	33.4	6.0	20.4		191	
7/25/2012	36.1	18.0	25.7		351	
7/26/2012	37.4	9.8	26.4		404	
7/27/2012	37.4	16.0	25.0		427	
7/28/2012	36.8	15.0	23.7		351	
7/29/2012	28.0	7.4	16.6		222	
7/30/2012	24.0	7.4	15.7		222	
7/31/2012	27.8	7.4	13.6		200	
8/1/2012	27.0	6.6	15.7		200	
8/2/2012	27.5	6.6	12.8		276	
8/3/2012	27.5	7.1	16.6		156	
8/4/2012	24.0	9.7	14.8		138	
8/5/2012	26.4	8.0	14.0		209	
8/6/2012	27.2	3.5	14.6		271	
8/7/2012	28.0	3.5	17.0		458	
8/8/2012	30.0	4.3	19.8		369	
8/9/2012	30.0	7.5	17.4		249	
8/10/2012	30.0	7.3	15.1		236	
8/11/2012	29.3	7.3	14.9		244	
8/12/2012	33.0	7.8	20.6		396	
8/13/2012	23.7	7.8	16.2		445	
8/14/2012	15.0	8.3	12.6		404	
8/15/2012	24.0	2.9	13.4	0.1270	293	
8/16/2012	27.2	2.9	16.7	0.1778	351	
8/17/2012	30.7	7.7	19.7	0	258	
8/18/2012	30.9	7.2	16.0		191	
8/19/2012	21.0	7.2	13.8		227	
8/20/2012	27.4	8.0	15.9		236	
8/21/2012	25.0	8.2	15.2		191	
8/22/2012	26.0	8.8	15.9		187	
8/23/2012	31.0	7.0	18.5		147	
8/24/2012	30.7	7.3	14.3		227	
8/25/2012	30.7	8.0	14.7		342	
8/26/2012	32.5	5.4	18.0		204	
8/27/2012	27.0	5.4	14.8		240	
8/28/2012						
8/29/2012						
8/30/2012						
8/31/2012						
9/1/2012						
9/2/2012						
9/3/2012						
9/4/2012						
9/5/2012						
9/6/2012						
9/7/2012						
9/8/2012						
9/9/2012						
9/10/2012						
9/11/2012						
9/12/2012						
9/13/2012						
9/14/2012						
9/15/2012						
9/16/2012						
9/17/2012						
9/18/2012						
9/19/2012	13.0	7.6	11.4		258	
9/20/2012	29.2	7.6	16.4		227	
9/21/2012	29.2	9.1	16.8		276	
9/22/2012	27.9	7.0	16.6		240	
9/23/2012	31.0	7.2	20.0		236	
9/24/2012	41.0	8.8	24.6		267	
9/25/2012	26.0	9.0	16.6		320	
9/26/2012	25.9	9.0	15.5		271	
9/27/2012	27.0	10.4	14.9		333	
9/28/2012	27.1	7.0	15.0		276	
9/29/2012	34.0	7.3	21.3		329	
9/30/2012	40.6	16.0	27.9		227	
10/1/2012	32.6	12.0	21.8		169	
10/2/2012	40.7	12.1	25.4		187	
10/3/2012	40.1	13.1	27.2		302	
10/4/2012	40.1	14.0	26.5		369	
10/5/2012	38.5	12.8	22.8		311	
10/6/2012	31.0	12.5	20.3		302	
10/7/2012	33.4	11.0	17.5		320	
10/8/2012	31.9	11.0	17.9		262	
10/9/2012	32.0	10.6	19.8		191	
10/10/2012	32.0	10.6	19.4		191	
10/11/2012	32.0	10.6	19.4		191	
10/12/2012	33.0	9.7	20.9		253	
10/13/2012	24.2	8.0	15.7		427	
10/14/2012	33.1	8.1	18.4		307	
10/15/2012	28.6	9.7	19.7		236	
10/16/2012	31.0	10.0	19.6		285	
10/17/2012	30.9	10.0	17.9		249	
10/18/2012	30.9	10.3	16.1		258	
10/19/2012	29.6	11.0	19.5		382	
10/20/2012	32.0	8.7	20.7		338	
10/21/2012	34.1	8.7	21.3		222	
10/22/2012	35.0	10.1	23.1		249	
10/23/2012	35.7	11.4	22.4		231	
10/24/2012	29.0	7.8	17.4		276	
10/25/2012	33.2	7.8	19.9		267	
10/26/2012	29.4	9.5	18.2		218	
10/27/2012	31.0	11.6	19.6		378	
10/28/2012	35.6	11.6	22.8		200	
10/29/2012	37.0	11.6	23.9		231	
10/30/2012	37.2	11.5	21.3		253	
10/31/2012	33.8	10.9	19.8		373	
11/1/2012	28.6	13.0	18.7		396	
11/2/2012	28.6	12.4	18.8		307	
11/3/2012	31.4	12.4	21.1		258	
11/4/2012	31.8	12.9	21.9		267	
11/5/2012	34.0	12.9	22.6		276	
11/6/2012	34.0	13.2	22.9		276	
11/7/2012	34.0	11.9	21.3		302	
11/8/2012	33.2	11.9	19.8		258	
11/9/2012	33.2	12.7	19.5		289	
11/10/2012	31.3	12.7	18.5		329	
11/11/2012	34.0	12.7	20.6		227	
11/12/2012	37.0	13.5	25.4		320	
11/13/2012	37.7	12.9	26.2		236	
11/14/2012	37.9	11.4	21.4		289	
11/15/2012	31.1	11.4	21.1		249	
11/16/2012	32.4	11.8	22.3		267	
11/17/2012	40.0	12.5	26.9		293	
11/18/2012	40.8	14.5	25.0		280	
11/19/2012	30.0	15.8	22.2		285	
11/20/2012	34.8	16.1	22.9		236	
11/21/2012	34.0	17.0	26.8		218	
11/22/2012	37.0	18.0	27.4		302	
11/23/2012	37.7	14.0	22.7		333	
11/24/2012	31.8	14.0	20.2		258	
11/25/2012	37.0	12.6	24.4		262	
11/26/2012	43.0	16.0	30.1		449	
11/27/2012	43.0	15.0	27.3		289	
11/28/2012	43.0	15.2	29.1		280	
11/29/2012	34.0	14.7	23.4		351	
11/30/2012	30.2	14.7	20.0		387	
12/1/2012	34.6	14.4	21.1		347	
12/2/2012	31.3	12.7	21.2		213	
