name,latitude (Y),longitude (X)
KS1011,-18.18889418,21.01712239
KS1012,-18.30902876,20.79888342
KS1071,-18.18165719,21.02204775
KS1072,-18.31604638,20.79791522
KS11b,-18.19074,21.01196844
KS211,-18.18086825,20.99813766
KS212,-18.29950797,20.79652333
KS21b,-18.29811176,20.79549021
KS231,-18.2009362,21.01702977
KS232,-18.28077294,20.84444984
KS271,-18.18164802,21.02095952
KS272,-18.31807313,20.7991437
KS851,-18.19078822,21.02138875
KS852,-18.31000636,20.79793266
KS911,-18.18344355,21.02286204
KS912,-18.31803212,20.79865659
KS931,-18.19825257,20.99265393
KS932,-18.29065956,20.82194223
KS951,-18.19163414,20.99374739
KS952,-18.27984735,20.83109635
KS971,-18.17178361,21.01019695
KS972,-18.30599807,20.78288953
KS991,-18.18194552,20.99156993
KS992,-18.27912287,20.79192719
NY1091,-17.82616667,18.69852837
NY1092,-17.81607635,18.55724361
NY1111,-17.80265216,18.74169625
NY1112,-17.79017856,18.52084084
NY1131,-17.80671459,18.69268941
NY1132,-17.80013334,18.52937701
NY1151,-17.82225277,18.66970113
NY1152,-17.78668875,18.55666852
NY1171,-17.79707241,18.68407646
NY1172,-17.7841105,18.53197737
NY1191,-17.80598181,18.69835278
NY1192,-17.79967287,18.52774364
NY1211,-17.82037457,18.6671304
NY1212 ,-17.78256373,18.55768376
NY1231,-17.80167778,18.70366851
NY1232,-17.79535773,18.5094853
NY1251,-17.81456172,18.71963289
NY1252,-17.80351882,18.51451075
NY151,-17.83182711,18.69065581
NY152,-17.81839245,18.50855168
NY171,-17.80803989,18.73590996
NY172,-17.79482479,18.50901119
NY191,-17.80626563,18.70660351
NY192,-17.80280662,18.51894047
OH351,-18.0791824,14.02044194
OH352,-18.16489598,14.05866291
OH391,-18.09715984,14.06569889
OH392,-18.16361641,14.01724963
OH411,-18.13625087,14.03705775
OH412,-18.14440111,14.04218466
OH431,-18.12706526,14.04579811
OH432,-18.14619796,14.05584645
OH471,-18.10828925,14.01902407
OH472,-18.1620839,14.04818482
OH511,-18.10355337,14.03722439
OH512,-18.12794548,14.06193839
OH551,-18.13509051,14.02127939
OH552,-18.1669311,14.03916463
OH571,-18.1197515,14.02860416
OH572,-18.16018608,14.0508336
OH591,-18.1332159,14.04657384
OH592,-18.13752512,14.05205569
OH611,-18.12503826,14.03772885
OH612,-18.15100636,14.04712618
OH631,-18.10585426,14.06566358
OH632,-18.15722186,14.0257703
OH651,-18.13972207,14.04051844
OH652,-18.14173084,14.0421537
OK101,-17.99114287,14.60553176
OK102,-17.93611142,14.53566889
